item_druid,collection_druid,New Work Type,New Subtype 1,New Subtype 2,New Subtype 3,New Subtype 4,New Subtype 5
bb383yy1645,tb053xc7429,Text,Journal/periodical issue,,,,
bb897qk3019,xn235kn0506,Text,Correspondence,Government document,,,
bb926bm7956,xm889sd1281,Text,Journal/periodical issue,,,,
bd257ry0198,rr255gf6892,Text,Report,Documentation,,,
bd378sq3542,xm889sd1281,Text,Journal/periodical issue,,,,
bf204zh4739,tb053xc7429,Text,Journal/periodical issue,,,,
bf574nq8973,tb053xc7429,Text,Journal/periodical issue,,,,
bg389cr2757,pf670qd3191,Image,Poster,Data,Text,,
bg476qg1049,pf670qd3191,Image,Poster,Data,Text,,
bg674gb7182,kq629sd5182,Text,Technical report,,,,
bg703xw4858,yw836rh9143,Video,Presentation recording,Unedited recording,Speech,,
bg930gc4574,xm889sd1281,Text,Journal/periodical issue,,,,
bg958dw2659,xm889sd1281,Text,Journal/periodical issue,,,,
bh259kw0760,xm889sd1281,Text,Journal/periodical issue,,,,
bj204fr8183,xm889sd1281,Text,Journal/periodical issue,,,,
bj285rv5005,xm889sd1281,Text,Journal/periodical issue,,,,
bk096pj1080,xf370bb6498,Text,Journal/periodical issue,,,,
bk468mz8701,gm265cj0081,Text,Technical report,,,,
bk826wj7226,xn235kn0506,Text,Correspondence,Government document,Policy brief,,
bm423yc2547,xm889sd1281,Text,Journal/periodical issue,,,,
bm447rk7540,tb053xc7429,Text,Journal/periodical issue,,,,
bn050ms4991,xm889sd1281,Text,Journal/periodical issue,,,,
bn261qk2343,tb053xc7429,Text,Journal/periodical issue,,,,
bn645ms7799,kq629sd5182,Text,Technical report,,,,
bn649xc4390,yw263dq8070,Text,Journal/periodical issue,,,,
bp210jw8496,kx581zg6755,Music,Sound,Sound recording,Performance,,
bp632rg7076,xm889sd1281,Text,Journal/periodical issue,,,,
bp709vr2421,pf670qd3191,Image,Poster,Data,Text,,
bq136mn9632,kq629sd5182,Text,Technical report,,,,
bq514xy6347,rr255gf6892,Text,Report,Documentation,,,
bq768jm5686,tb053xc7429,Text,Journal/periodical issue,,,,
bq949jx3878,rr255gf6892,Text,Report,Documentation,,,
br316sm9663,xm889sd1281,Text,Journal/periodical issue,,,,
br499ng2398,xm889sd1281,Text,Journal/periodical issue,,,,
br953mx9619,kk382jq8063,Image,,,,,
bs212tg9847,tb053xc7429,Text,Journal/periodical issue,,,,
bs961xz3901,px507jb1735,Text,Documentation,,,,
bt723xh0904,pf670qd3191,Image,Poster,Data,Text,,
bt769zd6859,xm889sd1281,Text,Journal/periodical issue,,,,
bw315rz7160,yw836rh9143,Video,Presentation recording,Unedited recording,Speech,,
bx108jk1664,xm889sd1281,Text,Journal/periodical issue,,,,
bx373px9999,pf670qd3191,Image,Poster,Data,Text,,
bx502jf6901,pf670qd3191,Image,Poster,Data,Text,,
