druid,title,owner_id,collection_id,state,work_type,subtype
druid:pm007md6862,Opportunity Gap and Women in the Energy Infrastructure Workforce,3327,203,deposited,text,Article
druid:tp054gr2590,Tatum La's NSC ePortfolio,4543,69,deposited,mixed material,Article,Capstone,Data,Essay,Image,Photograph,Portfolio,Presentation recording,Presentation slides,Text,Working paper
druid:gm318nq2639,"'Knowing What a Man Wants': Advertising in Playboy Magazine, 1972-1982",3204,76,deposited,text,Article
druid:rf177nn0751,Film pioneer’s archive at Stanford reveals Hollywood treasure trove,4,255,decommissioned,text,Article,Interview
,BRITTANY LINUS’ NCR ePortfolio,4551,291,pending_approval,mixed material,3D model,Animation,Article,Capstone,Course/instructional materials,Dramatic performance,Essay,Ethnography,Event,Experimental audio/video,Field recording,Image,Map,Narrative film,Oral history,Pamphlet,Performance,Photograph,Podcast,Portfolio,Poster,Presentation slides,Software,Story,Text,Thesis,Video art,Video recording,White paper
druid:tq788tp5782,Benefits and Economic Costs of Managed Aquifer Recharge in California Research Brief,257,40,deposited,text,Article
druid:jz503jh0828,Sonja Hansen's NSC ePortfolio,3581,69,deposited,mixed material,Image,Portfolio,Text,Video,Article,Capstone,Essay,Map,Podcast,Presentation slides,Story,Video recording,White paper
druid:rq274vr3246,Talk with Myles Jewell about the film The Chasers.,58,37,deposited,text,Article
druid:br131js7587,"""A victim of his obstinate devotion to the cause of the unhappy Armenian race"": The Murder of Rev. George P. Knapp (1915)",4,255,decommissioned,text,Article
druid:my136yh3655,Using Satellite Data to Monitor Groundwater Levels Research Brief,257,40,deposited,text,Article
druid:nd094gx0835,The Burning of Smyrna: H. C. Jaquith’s report to Admiral Bristol,4,255,decommissioned,text,Article,Transcript
druid:ww948yx4521,Comparing Local Groundwater Withdrawal Permitting Laws in the Southwest and California Research Brief,257,40,deposited,text,Article
druid:bs184vy3057,"Youth Empowerment: The Contributions and Challenges of Youth-Led Research in a High-Poverty, Urban Community",930,104,deposited,text,Article
druid:hn339zz7517,A chubby Orpheus: Handel's corpulence as a prerogative of genius,4,255,decommissioned,text,Article
druid:fz350sz6164,Handel's Reception and the Rise of Music Historiography in Britain,4,255,decommissioned,text,Article
druid:xt284zz3200,New	Assessment Tools for Water Vulnerability Innovation Brief,257,40,deposited,text,Article
druid:rn942vt2126,Fulfilling the Promise of California’s Sustainable Groundwater Management Act: Improving Groundwater Data Collection and Understanding Research Brief,257,40,deposited,text,Article
druid:hy452dc9889,A Selection of Final Projects from the Stanford Internet Observatory’s Online Open Source Investigation Course,2472,173,deposited,text,Article
druid:fg702pd2896,Race and Class in a Culture of Risk,1583,104,deposited,text,Article
druid:ch875yq2109,Citlali's NSC ePortfolio,2738,69,deposited,mixed material,Data,Image,Sound,Text,Video,Animation,Article,Essay,Podcast
druid:rk239km0440,"When is mathematics, and who says so?",57,104,deposited,text,Article
druid:gg410jf1947,Severely Warped Paper Substrate Disc Playback:  A Story of Inter-Disciplinary Cooperation,29,76,deposited,text,Article
druid:yx540zf8446,Analysing Theoretical Frameworks of Moral Education through Lakatos's Philosophy of Science,1586,104,deposited,text,Article
druid:cb612zf3515,Evaluating the Use of Data Platforms for Water Management Decisions,257,40,deposited,text,Article
druid:gv787wh0666,Nuzhah Tarsoo's NSC eportfolio,2744,69,deposited,mixed material,Data,Image,Sound,Text,Video,Article,Essay,Geospatial data,Poster,Presentation recording,Presentation slides,Video recording
druid:sz028zv2266,Groundwater Wells in the Western United States Research Brief,257,40,deposited,text,Article
druid:kg333zq1138,Visitations publicity and reviews,1141,161,deposited,mixed material,Article,Poster,Image
druid:gt326ys3940,90 Reasons,1272,168,deposited,text,Article
druid:jd998zb0274,Performance Analysis of Novel Propellant Oxidizers using Molecular Modelling and Nozzle Flow Simulations,2527,203,deposited,text,Article,Conference session
druid:qm193gn7308,Silent Librarian Syndrome: Perspectives on SCECSAL Conference XVII,609,76,deposited,text,Article
druid:ct166yg7521,Reflections of a Resident,609,76,deposited,text,Article
druid:bn885jn1131,Vrinda M. Suresh's NSC ePortfolio,2726,69,deposited,mixed material,Image,Sound,Text,Article,Essay,Interview,Photograph,Podcast,Policy brief,Poster,Presentation slides,Story,Syllabus,Thesis
druid:vm833sn3584,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities,  part 6",2766,218,deposited,text,Article
druid:kx058kk6484,"Guide to Compliance with California's Sustainable Groundwater Management Act: How to Avoid the ""Undesirable Result"" of ""Significant and Unreasonable Adverse Impacts on Beneficial Uses of Surface Waters""",257,40,deposited,text,Article
druid:bz568gv0212,Predation Of Herbivores On Reefs And Its Effect On The Coral Habitat.,354,52,deposited,text,Article
druid:mf606ht6373,"""Collective Intelligence as Infrastructure for Reducing Broad Global Catastrophic Risks""",4034,281,deposited,text,Article
druid:wy570ph7489,Ignition delay time measurements and model improvements of syngas with H2S in supercritical CO2 systems,2527,203,deposited,text,Article
druid:xw059gg0609,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities,  part 12",2766,218,deposited,text,Article
druid:th423dy9226,Race and Cultural Flexibility among Students in Different Multiracial Schools,1585,104,deposited,text,Article
druid:gg794yf5432,"Overview of attacks against civilian infrastructure during the Syrian civil war, 2012–2018",3302,76,deposited,text,Article
druid:ck905qj5637,De Paisano a Paisano: What a Legendary Mexican Band Has to Say About the Lives of Its Listeners and Why It Matters.,972,116,deposited,text,Article
druid:dx890rw7681,Never Again Means Never Forgetting: The Shoah in Polish Society and Education.,972,116,deposited,text,Article
druid:bq825dx0223,"""If Black Lives Matter, they deserve to be in paintings:"" Kehinde Wiley's Lamentation as Ontological Resurrection.",972,116,deposited,text,Article
druid:qp993by0320,Self-assembly and biophysical properties of archaeal lipids,4256,203,deposited,text,Article
druid:md615fg3291,"Beauty of construction, richness of expression: Paul Newman and the history of Hausa",4175,203,deposited,text,Article
druid:yy238dt6241,Transforming a Renewal Agreement into an Equitable Licensing Deal (Podcast Transcript),4257,76,deposited,text,Article
druid:zy474yf0050,"""Existential Risks Associated with Dual-Use Technologies""",4034,281,deposited,text,Article
druid:hs880fm8092,Conversing with Silence: Destabilizing Understandings of the Linguistic Reverberations of the Japanese Internment Camps.,972,116,deposited,text,Article
druid:bw462tg1065,Not with a Bang but a Computer: An Investigation in Promoting Safe AI Research Based on Lessons Learned from the History of Nuclear Technology Development.,972,116,deposited,text,Article
druid:jg764wj5546,Push Factors: The Complicity of Traditional News Organizations in the Age of Ambient Media.,972,116,deposited,text,Article
druid:pv045nz1713,"""For My Old Kentucky Home, Far Away:"" A Case for the Psycho-Sociological Dimension of Rural Brain Drain.",972,116,deposited,text,Article
druid:bn282bd0833,K-12 Teaching Resources on Partition and the Poetic Form of the Ghazal,1851,20,deposited,text,Article
druid:cj321kn8660,LEGO DNA Sequencer,2365,5,deposited,mixed material,Data,Software/Code,Text,3D model,Article,Code,Documentation,Software
druid:gw840hr9969,The struggle to regulate driving under the influence of marijuana,1860,27,deposited,text,Article
druid:qs879tn2151,"Contexts: Stanford Undergraduate Research Journal in Anthropology, Spring 2021",239,31,deposited,other,Article
druid:cx890dc5858,Seldom-Explored Minorities’ Stories: Eyes Wide Shut,609,76,deposited,text,Article
druid:jn831jq6602,"Internet Resources for Researching Orthodox Judaism",611,76,deposited,text,Article
druid:zf191hb7292,Red Pill or Blue Pill? Do We Have a Choice?,609,76,deposited,text,Article
druid:mz201hw8678,Financial Literacy and Career Readiness: Program Design for East Palo Alto Academy Foundation Scholars,74,103,deposited,text,Article
druid:ks498xy6748,Digital Humanities and Jewish Studies: a View from the U.S.,611,76,deposited,text,Article
druid:kc230yp5266,"Project description -- RDI at Stanford, revisited",1138,155,deposited,text,Article
druid:rw799xn8012,O Magrebe Além dos Mares: The Origins of a Brazilian al-Mahjar at the Limits of Modernity,2327,192,deposited,text,Article
druid:yy463gr8945,DO THE MARRIAGEABLE MEN WANT TO PROTECT AND PROVIDE? The Expectation of Black Professional Hybrid Masculinity,2473,203,deposited,text,Article
druid:zn918dz3347,Nadin Tamer's NSC ePortfolio,3717,69,deposited,mixed material,Image,Portfolio,Text,Video,Article,Documentation,Essay,Journal/periodical issue,Policy brief,Poster,Presentation slides
druid:rg869kh3864,Linguistic Diversity in Libraries,609,76,deposited,text,Article
druid:dg438cb5918,"""Existential Risk: From Resilience to Antifragility""",4034,281,deposited,text,Article
druid:nz589jh8225,Sociability Project: Social Media and Negative Well-Being.,2158,29,deposited,text,Article
druid:wq445hv6502,"Last test deposit for today, but there's always another.",60,195,decommissioned,text,Article
druid:sz249ym9704,MOOC's and the Library Engaging with Evolving Pedagogy,605,76,deposited,text,Article,Conference session
